index,genres,id,keywords,original_language,original_title,popularity,tagline,title,vote_average,vote_count,cast,director
2062,Comedy Drama,17795,white house usa president national security agency (nsa) danger sable,en,My Fellow Americans,2.809378,"A comedy about life, liberty and the pursuit of two ex-presidents.",My Fellow Americans,6.3,46,Jack Lemmon James Garner Dan Aykroyd John Heard Wilford Brimley,Peter Segal
2063,Drama Thriller Mystery,1073,bomb terrorist fbi professor paranoia,en,Arlington Road,12.819447,Your Paranoia Is Real.,Arlington Road,7,239,Jeff Bridges Tim Robbins Joan Cusack Hope Davis Robert Gossett,Mark Pellington
2064,Animation Adventure Romance,153158,soccer,es,Metegol,14.866351,There's only one team this summer.,Underdogs,6,122,Juan Jos\u00e9 Campanella Diego Ramos Pablo Rago Axel Kuschevatzky David Masajnik,Juan Jos\u00e9 Campanella
2066,Science Fiction Action Adventure Thriller,10724,flying pilot kampfjet false identity assault,en,Firefox,8.700565,...the most devastating killing machine ever built... his job... steal it!,Firefox,5.5,139,Clint Eastwood Freddie Jones David Huffman Warren Clarke Ronald Lacey,Clint Eastwood
2067,Animation Comedy Music,9473,gay mount rushmore national memorial swear word mephisto hell,en,"South Park: Bigger, Longer & Uncut",27.197799,UH-OH.,"South Park: Bigger, Longer & Uncut",7.1,893,Trey Parker Matt Stone Mary Kay Bergman Isaac Hayes George Clooney,Trey Parker
2068,Comedy Drama,2196,brother brother relationship farewell father son relationship age difference parents kids relationship,en,Death at a Funeral,20.410354,From director Frank Oz comes the story of a family that puts the F U in funeral.,Death at a Funeral,6.9,497,Matthew Macfadyen Keeley Hawes Andy Nyman Ewen Bremner Daisy Donovan,Frank Oz
2069,Action Adventure Comedy Family Fantasy,1499,japan time travel ninja,en,Teenage Mutant Ninja Turtles III,10.207065,The Turtles Are Back....In Time.,Teenage Mutant Ninja Turtles III,5.1,184,Paige Turco Stuart Wilson Sab Shimono Vivian Wu Mark Caso,Stuart Gillard
2070,Comedy Romance,20857,gay,en,Hardball,5.683281,The most important thing in life is showing up,Hardball,6.3,123,Keanu Reeves Diane Lane Michael B. Jordan D. B. Sweeney John Hawkes,Brian Robbins
2071,Drama Comedy Romance,82693,dancing philadelphia running based on novel depression,en,Silver Linings Playbook,63.599973,Watch For The Signs,Silver Linings Playbook,6.9,4742,Bradley Cooper Jennifer Lawrence Robert De Niro Jacki Weaver Chris Tucker,David O. Russell
2072,Crime Drama,1646,black people based on novel holocaust ghetto diary,en,Freedom Writers,17.746981,Their story. Their world. Their future.,Freedom Writers,7.5,356,Hilary Swank Scott Glenn Imelda Staunton Patrick Dempsey Mario,Richard LaGravenese
2073,Drama,44944,female nudity poem rape love domestic violence,en,For Colored Girls,1.934524,Many voices. One poem.,For Colored Girls,7,22,Kimberly Elise Janet Jackson Loretta Devine Thandie Newton Anika Noni Rose,Tyler Perry
2074,Action Crime Thriller,4108,car journey transportation auto human trafficking,en,The Transporter,34.433521,Rules are made to be broken.,The Transporter,6.6,1692,Jason Statham Shu Qi Fran\u00e7ois Berl\u00e9and Matt Schulze Ric Young,Louis Leterrier
2075,Drama Action,8456,rebel martial arts underground fight training,en,Never Back Down,26.21425,Win or lose... Everyone has their fight.,Never Back Down,6.4,497,Sean Faris Amber Heard Cam Gigandet Djimon Hounsou Evan Peters,Jeff Wadlow
2076,Horror Thriller Science Fiction,7341,suicide male nudity female nudity fire nudity,en,The Rage: Carrie 2,4.781538,Looks Can Kill,The Rage: Carrie 2,5.1,76,Emily Bergl Jason London Amy Irving J. Smith-Cameron Dylan Bruno,Katt Shea
2078,Drama Comedy,10187,usa president presidential election fox news,en,Swing Vote,5.815881,One ordinary guy is giving the candidates a reason to run.,Swing Vote,5.8,65,Kevin Costner Madeline Carroll Paula Patton Kelsey Grammer Dennis Hopper,Joshua Michael Stern
2080,Drama Thriller Mystery,49517,spy cold war spying espionage mole,en,Tinker Tailor Soldier Spy,33.649652,How do you find an enemy who is hidden right before your eyes?,Tinker Tailor Soldier Spy,6.6,840,John Hurt Gary Oldman Kathy Burke Benedict Cumberbatch Colin Firth,Tomas Alfredson
2082,Drama,50780,puppet woman director,en,The Beaver,13.847872,He's here to save Walter's life.,The Beaver,6.3,276,Jodie Foster Mel Gibson Jennifer Lawrence Anton Yelchin Zachary Booth,Jodie Foster
2083,Comedy,16363,brothel corset crusader musical governor,en,The Best Little Whorehouse in Texas,4.189378,With Burt and Dolly this much fun just couldn't be legal!,The Best Little Whorehouse in Texas,5.9,41,Burt Reynolds Dolly Parton Dom DeLuise Charles Durning Jim Nabors,Colin Higgins
2084,Action Thriller Science Fiction Horror,1946,video game hacker bodyguard pop star virtual reality,en,eXistenZ,21.928025,Play it. Live it. Kill for it.,eXistenZ,6.7,475,Jennifer Jason Leigh Jude Law Ian Holm Willem Dafoe Don McKellar,David Cronenberg
2085,Adventure Action,85,saving the world riddle nepal himalaya cairo,en,Raiders of the Lost Ark,68.159596,Indiana Jones - the new hero from the creators of JAWS and STAR WARS.,Raiders of the Lost Ark,7.7,3854,Harrison Ford Karen Allen Paul Freeman Ronald Lacey John Rhys-Davies,Steven Spielberg
2086,Comedy Family Adventure Crime,772,holiday new york new york city christmas,en,Home Alone 2: Lost in New York,81.487685,He's up past his bedtime in the city that never sleeps.,Home Alone 2: Lost in New York,6.3,2395,Macaulay Culkin Joe Pesci Catherine O'Hara Daniel Stern John Heard,Chris Columbus
2087,Science Fiction Drama,840,indiana obsession extraterrestrial technology evacuation blackout,en,Close Encounters of the Third Kind,52.456505,We are not alone.,Close Encounters of the Third Kind,7.2,1098,Richard Dreyfuss Fran\u00e7ois Truffaut Teri Garr Melinda Dillon Bob Balaban,Steven Spielberg
2088,Horror Thriller,9682,suicide hacker death of a friend website remake,en,Pulse,9.662715,You are now infected.,Pulse,5,150,Kristen Bell Ian Somerhalder Christina Milian Rick Gonzalez Jonathan Tucker,Jim Sonzero
2090,Comedy,10678,prison ex-boyfriend support escape lawyer,en,Bringing Down the House,8.351385,"Everything he needed to know about life, she learned in prison.",Bringing Down the House,5.4,183,Steve Martin Queen Latifah Eugene Levy Joan Plowright Jean Smart,Adam Shankman
2091,Crime Drama Thriller,274,based on novel psychopath horror suspense serial killer,en,The Silence of the Lambs,18.174804,To enter the mind of a killer she must challenge the mind of a madman.,The Silence of the Lambs,8.1,4443,Jodie Foster Anthony Hopkins Scott Glenn Ted Levine Anthony Heald,Jonathan Demme
2092,Music Comedy,8872,tv show heavy metal television producer woman director,en,Wayne's World,21.815122,You'll laugh. You'll cry. You'll hurl.,Wayne's World,6.5,728,Mike Myers Dana Carvey Rob Lowe Tia Carrere Lara Flynn Boyle,Penelope Spheeris
2093,Comedy Documentary Action,16290,pain stunts stuntman stupidity comedy,en,Jackass 3D,20.99174,Don't try this at home,Jackass 3D,6.4,428,Johnny Knoxville Bam Margera Ryan Dunn Steve-O Chris Pontius,Jeff Tremaine
2094,Horror Thriller,579,mayor island police chief sailing boat accident,en,Jaws 2,19.636044,Just when you thought it was safe to go back in the water...,Jaws 2,5.9,406,Roy Scheider Lorraine Gary Murray Hamilton Joseph Mascolo Jeffrey Kramer,Jeannot Szwarc
2095,Adventure Comedy Family,14405,dog dirt chihuahua pinata potted plant duringcreditsstinger,en,Beverly Hills Chihuahua,12.25264,50% Warrior. 50% Lover. 100% Chihuahua.,Beverly Hills Chihuahua,4.9,209,Drew Barrymore Piper Perabo Andy Garc\u00eda George Lopez Paul Rodr\u00edguez,Raja Gosnell
2096,Horror Thriller,138843,sister sister relationship exorcism rhode island based on true story farmhouse,en,The Conjuring,49.975409,Based on the true case files of the Warrens,The Conjuring,7.4,3092,Patrick Wilson Vera Farmiga Lili Taylor Ron Livingston Shanley Caswell,James Wan
2097,Adventure Comedy Family Romance,11637,car journey macho road trip children pretty woman,en,Are We There Yet?,13.590677,24 hours. 350 miles. His girlfriend's kids. What could possibly go wrong?,Are We There Yet?,5.2,221,Ice Cube Nia Long Aleisha Allen Philip Bolden Jay Mohr,Brian Levant
2099,Comedy Music,1584,rock and roll rock high school music band,en,School of Rock,43.057323,He just landed the gig of his life: 5th grade.,School of Rock,6.7,1414,Jack Black Joan Cusack Mike White Sarah Silverman Adam Pascal,Richard Linklater
2100,Action Fantasy,9312,martial arts monster island gore sorcerer,en,Mortal Kombat,16.470895,Nothing In This World Has Prepared You For This.,Mortal Kombat,5.4,442,Christopher Lambert Robin Shou Linden Ashby Cary-Hiroyuki Tagawa Bridgette Wilson,Paul W.S. Anderson
2101,Comedy,12153,undercover fbi fish out of water high society buddy cop,en,White Chicks,28.703007,They're going deep undercover.,White Chicks,6.3,679,Shawn Wayans Marlon Wayans Jaime King Frankie Faison Maitland Ward,Keenen Ivory Wayans
2102,Comedy Drama,65057,hawaii father-in-law daughter cheating wife beach house,en,The Descendants,40.903931,The South Pacific ain't that terrific.,The Descendants,6.7,934,George Clooney Shailene Woodley Amara Miller Nick Krause Robert Forster,Alexander Payne
2103,Adventure Family Drama Comedy,8326,curse suitor false accusations reference to annabel lee digging,en,Holes,22.001408,Some secrets are too big to keep hidden.,Holes,6.7,383,Sigourney Weaver Jon Voight Tim Blake Nelson Patricia Arquette Shia LaBeouf,Andrew Davis
2104,Drama Family Romance,35690,brother sister relationship new love daughter summer vacation woman director,en,The Last Song,23.139971,"A story about family, first love, second chances and the moment in life that lead you back home.",The Last Song,6.9,923,Miley Cyrus Greg Kinnear Bobby Coleman Liam Hemsworth Hallock Beals,Julie Anne Robinson
2105,Drama History,76203,whip kidnapping slavery plantation night shift,en,12 Years a Slave,95.9229,The extraordinary true story of Solomon Northup,12 Years a Slave,7.9,3674,Chiwetel Ejiofor Michael Fassbender Lupita Nyong'o Benedict Cumberbatch Paul Dano,Steve McQueen
2106,Drama Romance Comedy Music,13497,music rehearsal fraternity initiation television broadcast white male pretending to be black sorority party,en,Drumline,4.748929,Half time is game time,Drumline,6.2,116,Nick Cannon Zoe Saldana Orlando Jones Leonard Roberts GQ,Charles Stone III
2108,Fantasy Drama Romance,162,underdog love at first sight hairdresser small town scissors,en,Edward Scissorhands,47.51363,His scars run deep.,Edward Scissorhands,7.5,3601,Johnny Depp Winona Ryder Dianne Wiest Alan Arkin Anthony Michael Hall,Tim Burton
2109,Drama Romance,296096,england based on novel depression small town wheelchair,en,Me Before You,53.161905,#LiveBoldly,Me Before You,7.6,2562,Emilia Clarke Sam Claflin Janet McTeer Charles Dance Brendan Coyle,Thea Sharrock
2111,Action Crime Thriller,1051,police brutality marseille night life attempted murder drug dealer,en,The French Connection,15.978136,There are no rules and no holds barred when Popeye cuts loose!,The French Connection,7.4,422,Gene Hackman Fernando Rey Roy Scheider Tony Lo Bianco Marcel Bozzuffi,William Friedkin
2112,Comedy,376659,alcohol bar party divorce family,en,Bad Moms,42.512296,Party like a mother.,Bad Moms,6.3,1252,Mila Kunis Kristen Bell Kathryn Hahn Christina Applegate Jada Pinkett Smith,Jon Lucas
2113,Comedy,10073,date diary parents-in-law bridegroom wedding,en,Date Movie,10.098722,An Unprotected Comedy,Date Movie,3.6,222,Alyson Hannigan Adam Campbell Sophie Monk Jennifer Coolidge Fred Willard,Jason Friedberg
2114,Adventure Fantasy Animation Family,16690,animation,en,Return to Never Land,15.341196,The Classic Continues,Return to Never Land,6.1,290,Harriet Owen Blayne Weaver Jeff Bennett Kath Soucie Corey Burton,Robin Budd
2115,History Drama,273895,alabama martin luther king president black american civil rights,en,Selma,29.023184,One dream can change the world.,Selma,7.4,817,David Oyelowo Tom Wilkinson Carmen Ejogo Andr\u00e9 Holland Omar J. Dorsey,Ava DuVernay
2116,Family Animation Adventure,14873,river musical tiger village feral child,en,The Jungle Book 2,19.819893,Feel the jungle beat,The Jungle Book 2,5.6,269,John Goodman Haley Joel Osment Mae Whitman Connor Funk Bob Joles,Steve Trenbirth
2117,Thriller Horror Drama Mystery,8968,nightmare hallucination childhood trauma break-up hometown,en,Boogeyman,11.62423,You thought it was just a story.,Boogeyman,4.6,191,Emily Deschanel Barry Watson Skye McCole Bartusiak Lucy Lawless Tory Mussett,Stephen T. Kay
2118,Thriller Drama Mystery,9963,deja vu dying and death time travel loss of husband car crash,en,Premonition,22.049787,Reality is only a nightmare away,Premonition,5.8,381,Sandra Bullock Julian McMahon Courtney Taylor Burness Nia Long Shyann McClure,Mennan Yapo
2120,Horror Thriller Mystery,21208,nun deaf-mute orphan all girl troubled marriage,en,Orphan,29.295801,Can you keep a secret?,Orphan,6.7,1261,Vera Farmiga Peter Sarsgaard Isabelle Fuhrman CCH Pounder Jimmy Bennett,Jaume Collet-Serra
2121,Adventure Drama Family,272878,afghanistan war based on true story rescue betrayal,en,Max,14.136476,Best Friend. Hero. Marine.,Max,6.8,276,Thomas Haden Church Josh Wiggins Lauren Graham Robbie Amell Mia Xitlali,Boaz Yakin
2123,Drama Thriller History,314365,child abuse journalism judge florida boston,en,Spotlight,41.503588,Break the story. Break the silence.,Spotlight,7.8,2686,Mark Ruffalo Michael Keaton Rachel McAdams Liev Schreiber John Slattery,Tom McCarthy
2124,Drama Crime Thriller,13279,vandalism harassment neighbor house party shot to death,en,Lakeview Terrace,20.495749,What Could Be Safer Than Living Next to a Cop?,Lakeview Terrace,5.9,292,Samuel L. Jackson Patrick Wilson Kerry Washington Ron Glass Justin Chambers,Neil LaBute
2125,Horror Thriller,1975,remake little boy curse,en,The Grudge 2,13.906944,"What Was Once Trapped, Will Now Be Unleashed",The Grudge 2,5.2,283,Sarah Michelle Gellar Amber Tamblyn Edison Chen Arielle Kebbel Jennifer Beals,Takashi Shimizu
2126,Comedy Drama Romance,33644,black people age difference jamaica vacation female protagonist,en,How Stella Got Her Groove Back,2.003047,Sometimes you have to break the rules to free your heart.,How Stella Got Her Groove Back,6,24,Angela Bassett Taye Diggs Whoopi Goldberg Regina King Suzzanne Douglas,Kevin Rodney Sullivan
2127,Adventure Comedy Family Fantasy Science Fiction,1649,future dying and death heaven time travel heavy metal,en,Bill & Ted's Bogus Journey,11.349664,Once... they made history. Now... they are history.,Bill & Ted's Bogus Journey,5.9,308,Keanu Reeves Alex Winter George Carlin William Sadler Joss Ackland,Peter Hewitt
2128,Comedy Drama Romance Thriller,9895,usa president presidential election comedian,en,Man of the Year,11.203335,Elections are made to be broken.,Man of the Year,5.8,129,Robin Williams Christopher Walken Laura Linney Lewis Black Jeff Goldblum,Barry Levinson
2129,Adventure Family Science Fiction Action,9570,killer robot space marine ghost ship black hole,en,The Black Hole,8.265317,A journey that begins where everything ends!,The Black Hole,6.1,131,Maximilian Schell Anthony Perkins Robert Forster Joseph Bottoms Ernest Borgnine,Gary Nelson
2131,Drama,16052,musical tejano elopement bustier fan club,en,Selena,6.92592,Discover the true story of one of America's brightest stars... that faded too soon.,Selena,7,114,Jennifer Lopez Edward James Olmos Constance Marie Jon Seda Lupe Ontiveros,Gregory Nava
2132,Horror Comedy,40264,vampire high school prom spoof horror spoof,en,Vampires Suck,17.165039,Some sagas just won't die.,Vampires Suck,4.2,315,Chris Riggi Matt Lanter Jenn Proske Ken Jeong Bradley Dodds,Jason Friedberg
2133,Drama,1164,terror loss of mother gun morocco deaf-mute,en,Babel,25.785925,If You Want to be Understood...Listen,Babel,6.9,1055,Brad Pitt Cate Blanchett Gael Garc\u00eda Bernal Rinko Kikuchi Adriana Barraza,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu
2134,Drama Comedy,239678,based on novel funeral dysfunctional family death of father man child,en,This Is Where I Leave You,20.311684,Welcome Home. Get Uncomfortable.,This Is Where I Leave You,6.5,505,Jason Bateman Tina Fey Adam Driver Rose Byrne Corey Stoll,Shawn Levy
2135,Drama Mystery,14359,sexual abuse boy wine gift janitor,en,Doubt,20.975165,"There is no evidence. There are no witnesses. But for one, there is no doubt.",Doubt,7,435,Meryl Streep Philip Seymour Hoffman Amy Adams Viola Davis Alice Drummond,John Patrick Shanley
2136,Music Adventure Animation Action Comedy,3989,paris france cairo capitalism loss of lover,en,Team America: World Police,26.509175,Putting The 'F' back in 'Freedom',Team America: World Police,6.6,660,Trey Parker Matt Stone Kristen Miller Masasa Moyo Daran Norris,Trey Parker
2137,Horror Thriller,76617,sequel gore leatherface slasher chainsaw,en,Texas Chainsaw 3D,26.497025,Evil wears many faces.,Texas Chainsaw 3D,5.3,465,Alexandra Daddario Dan Yeager Bill Moseley Marilyn Burns Tania Raymonde,John Luessenhop
2138,Drama Thriller,1710,police brutality psychology police operation police protection serial killer,en,Copycat,14.211699,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.",Copycat,6.4,194,Sigourney Weaver Holly Hunter Will Patton William McNamara Harry Connick Jr.,Jon Amiel
2139,Comedy,4258,sequel parody spoof aftercreditsstinger duringcreditsstinger,en,Scary Movie 5,36.819044,Evil is coming. Bring protection.,Scary Movie 5,4.6,793,Simon Rex Ashley Tisdale Charlie Sheen Lindsay Lohan Erica Ash,Malcolm D. Lee
2140,Drama Action Comedy Western Music,20391,mining prospector,en,Paint Your Wagon,7.902536,Stake Your Claim To The Musical Goldmine of '69!,Paint Your Wagon,6.2,63,Lee Marvin Clint Eastwood Jean Seberg Harve Presnell Ray Walston,Joshua Logan
2141,History Drama,10139,gay san francisco homophobia mayor biography,en,Milk,30.909699,Never Blend In.,Milk,7.1,612,Sean Penn Emile Hirsch James Franco Josh Brolin Diego Luna,Gus Van Sant
2142,Action,335778,christianity jesus christ apostle crucifixion jerusalem,en,Risen,16.663797,Witness the manhunt that changed the course of human history,Risen,5.7,295,Tom Felton Cliff Curtis Joseph Fiennes Peter Firth Mark Killeen,Kevin Reynolds
2143,Horror Mystery Thriller,9645,cruise pilot ghost ship,en,Ghost Ship,27.724913,Sea Evil,Ghost Ship,5.3,531,Gabriel Byrne Julianna Margulies Desmond Harrington Ron Eldard Isaiah Washington,Steve Beck
2144,Comedy,55465,holiday indian lead beer christmas tree cannabis,en,A Very Harold & Kumar Christmas,17.971883,Christmas comes prematurely.,A Very Harold & Kumar Christmas,6,328,Neil Patrick Harris John Cho Elias Koteas Danneel Ackles Kal Penn,Todd Strauss-Schulson
2145,Crime Drama Mystery,617,upper class poison sailboat rape sexual abuse,en,Wild Things,25.041992,They're dying to play with you.,Wild Things,6.3,444,Matt Dillon Kevin Bacon Denise Richards Neve Campbell Theresa Russell,John McNaughton
2146,Horror Thriller Mystery,19904,step father remake,en,The Stepfather,7.924428,Daddy's home.,The Stepfather,5.4,167,Dylan Walsh Sela Ward Penn Badgley Amber Heard Sherry Stringfield,Nelson McCormick
2147,Drama Thriller,48289,beach mossad secret agent insane asylum lye,en,The Debt,14.857884,Every secret comes with a price.,The Debt,6.3,257,Helen Mirren Ciar\u00e1n Hinds Tom Wilkinson Jessica Chastain Sam Worthington,John Madden
2148,Comedy Drama Romance Music,243,chicago music record rock and roll record store soul,en,High Fidelity,23.982956,"A comedy about fear of commitment, hating your job, falling in love and other pop favorites.",High Fidelity,7,628,John Cusack Iben Hjejle Todd Louiso Jack Black Lisa Bonet,Stephen Frears
2149,Horror Mystery Thriller,6933,candy loss of sister mobile phone answering machine dying and death,en,One Missed Call,12.458131,What will it sound like when you die?,One Missed Call,4.7,171,Shannyn Sossamon Edward Burns Ana Claudia Talanc\u00f3n Ray Wise Azura Skye,Eric Valette
2150,Drama Thriller,17182,rape gun self-defense grieving parents,en,Eye for an Eye,3.996392,What do you do when justice fails?,Eye for an Eye,5.8,63,Sally Field Kiefer Sutherland Ed Harris Beverly D'Angelo Charlayne Woodard,John Schlesinger
2152,Science Fiction Drama Romance,38,deja vu regret jealousy amnesia dream,en,Eternal Sunshine of the Spotless Mind,56.481487,You can erase someone from your mind. Getting them out of your heart is another story.,Eternal Sunshine of the Spotless Mind,7.9,3652,Jim Carrey Kate Winslet Kirsten Dunst Mark Ruffalo Elijah Wood,Michel Gondry
2153,Comedy Romance,38303,brother sister relationship marriage bully duringcreditsstinger,en,You Again,19.962713,What doesn't kill you... is going to marry your brother.,You Again,6,368,Kristen Bell Sigourney Weaver Betty White Kristin Chenoweth Odette Annable,Andy Fickman
2154,Action Crime Drama Thriller,1266,police los angeles,en,Street Kings,18.666876,Their city. Their rules. No prisoners.,Street Kings,6.3,363,Keanu Reeves Forest Whitaker Chris Evans Hugh Laurie Martha Higareda,David Ayer
2155,Comedy Action Science Fiction,107985,end of the world apocalypse trilogy homage,en,The World's End,55.964605,Good food. Fine ales. Total Annihilation.,The World's End,6.7,1778,Simon Pegg Nick Frost Martin Freeman Eddie Marsan Paddy Considine,Edgar Wright
2156,Action Adventure Crime Family Mystery,14043,california detective based on novel dream kidnapping,en,Nancy Drew,5.0348,Small Town Girl. Big Time Adventure.,Nancy Drew,5.8,143,Emma Roberts Josh Flitter Max Thieriot Rachael Leigh Cook Tate Donovan,Andrew Fleming
2157,Fantasy Horror Action Thriller Science Fiction,19901,female nudity sunrise waitress experiment rain,en,Daybreakers,28.019226,"In 2019, The Most Precious Natural Resource... Is Us.",Daybreakers,6,634,Ethan Hawke Sam Neill Willem Dafoe Claudia Karvan Isabel Lucas,Michael Spierig
2158,Comedy Romance,34016,confidence romantic comedy dating insecurity airport security,en,She's Out of My League,16.176976,"When she's this hot, You get one shot.",She's Out of My League,5.9,525,Alice Eve Jay Baruchel Mike Vogel Krysten Ritter Debra Jo Rupp,Jim Field Smith
2159,Adventure Comedy Romance,59860,monte carlo mistaken identity look-alike young woman texan,en,Monte Carlo,17.237143,She's having the time of someone else's life.,Monte Carlo,6,593,Selena Gomez Katie Cassidy Cory Monteith Leighton Meester Andie MacDowell,Thomas Bezucha
2160,Horror Thriller,10069,video game hacker virtual reality virtual fight baroness,en,Stay Alive,4.34503,You die in the game - you die for real.,Stay Alive,5.3,155,Jon Foster Samaire Armstrong Frankie Muniz Jimmi Simpson Wendell Pierce,William Brent Bell
2161,Romance Action Adventure Western Drama,9588,australian chase,en,Quigley Down Under,11.360997,There's a price on his head. A girl on his mind. And a twinkle in his eye.,Quigley Down Under,6.5,119,Tom Selleck Laura San Giacomo Alan Rickman Chris Haywood Ron Haddrick,Simon Wincer
2162,Family Animation,12819,wolf arranged marriage forbidden love road trip park,en,Alpha and Omega,12.300789,A Pawsome 3D Adventure,Alpha and Omega,5.3,124,Hayden Panettiere Justin Long Dennis Hopper Christina Ricci Danny Glover,Ben Gluck
2163,Action Adventure Fantasy Horror Science Fiction,9954,magic male friendship college supernatural powers teenager,en,The Covenant,15.804814,Only the power of Hell can help them.,The Covenant,5.2,288,Steven Strait Laura Ramsey Jessica Lucas Taylor Kitsch Chace Crawford,Renny Harlin
2164,Comedy Drama,10115,gymnastics trainer puberty training sport,en,Stick It,9.750557,The world of competitive gymnastics is about to be turned on its head.,Stick It,6.3,148,Jeff Bridges Missy Peregrym Vanessa Lengies Maddy Curley Nikki SooHoo,Jessica Bendinger
2166,Fantasy Drama Comedy Thriller,577,adultery winter obsession television new hampshire,en,To Die For,12.309715,All she wanted was a little attention.,To Die For,6.7,175,Nicole Kidman Matt Dillon Joaquin Phoenix Casey Affleck Illeana Douglas,Gus Van Sant
2167,Mystery Adventure Crime,328387,based on novel technology internet hacking teenager,en,Nerve,62.933899,Are you a watcher or a player?,Nerve,7.1,2181,Emma Roberts Dave Franco Emily Meade Miles Heizer Juliette Lewis,Henry Joost
2168,Drama Western Crime,12690,small town rancher,en,Appaloosa,16.074397,Feelings get you killed.,Appaloosa,6.3,299,Viggo Mortensen Ed Harris Ren\u00e9e Zellweger Jeremy Irons Timothy Spall,Ed Harris
2169,Action Drama Fantasy Horror Thriller,9945,based on novel new mexico party vampire hunter revenge,en,Vampires,17.016284,From the Master of Evil. Comes a New Breed of Terror,Vampires,5.8,255,James Woods Daniel Baldwin Sheryl Lee Thomas Ian Griffith Maximilian Schell,John Carpenter
2170,Drama Horror Thriller,539,hotel clerk arizona shower rain,en,Psycho,93.067866,The master of suspense moves his cameras into the icy blackness of the unexplored!,Psycho,8.2,2320,Anthony Perkins Vera Miles John Gavin Janet Leigh Martin Balsam,Alfred Hitchcock
2171,Romance Comedy,13596,date sex bar test friendship,en,My Best Friend's Girl,17.145287,It's funny what love can make you do...,My Best Friend's Girl,5.4,220,Dane Cook Kate Hudson Alec Baldwin Jason Biggs Diora Baird,Howard Deutch
2172,Drama Romance,226857,teenage romance,en,Endless Love,27.256849,Say Goodbye to Innocence,Endless Love,6.7,542,Alex Pettyfer Gabriella Wilde Robert Patrick Rhys Wakefield Emma Rigby,Shana Feste
2173,Comedy Drama Romance,13159,grandmother granddaughter relationship promiscuity mother daughter relationship summer teenager,en,Georgia Rule,7.878177,"In this family, attitude doesn't skip a generation.",Georgia Rule,5.6,130,Jane Fonda Lindsay Lohan Felicity Huffman Dermot Mulroney Cary Elwes,Garry Marshall
2175,Adventure Drama Fantasy Romance,526,moon monk swordplay bishop cathedral,en,Ladyhawke,14.370111,No force in Heaven will release them. No power on Earth can save them.,Ladyhawke,6.8,260,Matthew Broderick Rutger Hauer Michelle Pfeiffer Alfred Molina John Wood,Richard Donner
2176,Comedy Drama Family,22796,illegitimate son,en,Simon Birch,11.090254,Destiny has big plans for little Simon Birch.,Simon Birch,6.5,52,Jim Carrey Ashley Judd Ian Michael Smith Joseph Mazzello Oliver Platt,Mark Steven Johnson
2177,Drama,2355,confidence trauma leaving one's family childhood memory airplane,en,Reign Over Me,20.82778,Let in the unexpected.,Reign Over Me,7.1,334,Adam Sandler Don Cheadle Jada Pinkett Smith Liv Tyler Saffron Burrows,Mike Binder
2178,Adventure Drama,5915,male nudity parents kids relationship camping cutting the cord self-discovery,en,Into the Wild,43.644978,Into the heart. Into the soul.,Into the Wild,7.8,3045,Emile Hirsch Marcia Gay Harden William Hurt Jena Malone Brian H. Dierker,Sean Penn
2179,Comedy Drama Romance,9842,date competition lovesickness mentor traffic policeman,en,School for Scoundrels,8.244324,Life's A Game. Learn How To Play.,School for Scoundrels,5.6,111,Billy Bob Thornton Jon Heder Jacinda Barrett Sarah Silverman Michael Clarke Duncan,Todd Phillips
2180,Thriller Horror Mystery,61012,female protagonist another dimension based on video game mall occult ritual,en,Silent Hill: Revelation 3D,23.292761,This Halloween prepare for a 3D ride through hell.,Silent Hill: Revelation 3D,5,432,Adelaide Clemens Kit Harington Sean Bean Carrie-Anne Moss Radha Mitchell,Michael J. Bassett
2181,Horror Action Thriller Crime,755,dancing brother brother relationship sexual obsession showdown sheriff,en,From Dusk Till Dawn,64.181668,One night is all that stands between them and freedom. But it's going to be a hell of a night.,From Dusk Till Dawn,6.9,1603,George Clooney Quentin Tarantino Harvey Keitel Juliette Lewis Ernest Liu,Robert Rodriguez
2183,Comedy Drama Romance,9089,baltimore thanksgiving family clan family conflict generations conflict,en,Home for the Holidays,4.031585,We'll do it every year..until we get it right,Home for the Holidays,6.3,39,Holly Hunter Robert Downey Jr. Anne Bancroft Charles Durning Claire Danes,Jodie Foster
2184,Action Comedy Crime Fantasy,9470,kung fu magic mafia defense gangster,cn,功夫,13.658985,So many gangsters...so little time.,Kung Fu Hustle,7.2,831,Stephen Chow Yuen Wah Yuen Qiu Lam Tze-Chung Huang Sheng-Yi,Stephen Chow
2185,Adventure Comedy Family,18357,human animal relationship musical clowning bear social satire,en,The Country Bears,6.908351,It's A Bear Getting The Family Together!,The Country Bears,4.3,20,Haley Joel Osment Diedrich Bader Candy Ford James Gammon Brad Garrett,Peter Hastings
2186,Drama,7979,1970s afghanistan hang gliding war in afghanistan taliban,en,The Kite Runner,10.446722,There is a way to be good again.,The Kite Runner,7.3,394,Khalid Abdalla Atossa Leoni Shaun Toub Zekeria Ebrahimi Ahmad Khan Mahmoodzada,Marc Forster
